Year,REAL ESTATE_Median_Return
1999,-0.045495797648082426
2000,0.3075169695584452
2001,0.10657681775319272
2002,0.049136862403015735
2003,0.3605736273806528
2004,0.3254956791136532
2005,0.14458132644778643
2006,0.3240440267867073
2007,-0.1710696504166005
2008,-0.39520368748270784
2009,0.3693006828717642
2010,0.28660196626776346
2011,0.05763716603809099
2012,0.14856257120020633
2013,0.008775409989005833
2014,0.3258344462729448
2015,0.026803261523709043
2016,0.08101463871535475
2017,0.05305440266138506
2018,-0.05390242818041091
2019,0.29634272147408325
2020,-0.04771423773172445
2021,0.4650858260887174
2022,-0.25366943728517166
2023,0.11172766158468006
2024,0.03785380899181279
2025,0.032619620067243726
